18.02.2026 #34
země|měna|množství|kód|kurz
Austrálie|dolar|1|AUD|14,482
Brazílie|real|1|BRL|3,920
Čína|žen-min-pi|1|CNY|2,964
Dánsko|koruna|1|DKK|3,246
EMU|euro|1|EUR|24,250
Filipíny|peso|100|PHP|35,377
Hongkong|dolar|1|HKD|2,620
Indie|rupie|100|INR|22,576
Indonesie|rupie|1000|IDR|1,213
Island|koruna|100|ISK|16,736
Izrael|nový šekel|1|ILS|6,600
Japonsko|jen|100|JPY|13,321
Jižní Afrika|rand|1|ZAR|1,278
Kanada|dolar|1|CAD|15,003
Korejská republika|won|100|KRW|1,418
Maďarsko|forint|100|HUF|6,414
Malajsie|ringgit|1|MYR|5,250
Mexiko|peso|1|MXN|1,197
MMF|ZPČ|1|XDR|28,202
Norsko|koruna|1|NOK|2,160
Nový Zéland|dolar|1|NZD|12,289
Polsko|zlotý|1|PLN|5,751
Rumunsko|leu|1|RON|4,762
Singapur|dolar|1|SGD|16,199
Švédsko|koruna|1|SEK|2,285
Švýcarsko|frank|1|CHF|26,577
Thajsko|baht|100|THB|65,524
Turecko|lira|100|TRY|46,789
USA|dolar|1|USD|20,474
Velká Británie|libra|1|GBP|27,796
