key,order,iso_639_3,en,label
aar,1,aar,Afar,Qafár af
acf,2,acf,Saint Lucian Creole French,Kwéyòl
arz,3,arz,Egyptian Arabic,مصرى
bci,4,bci,Baoulé,Baule
bem,5,bem,Bemba,ChiBemba
bfa,6,bfa,Bari,Bari
cal,7,cal,Carolinian,Refaluwasch
chk,8,chk,Chuukese,Fosun Chuuk
cjy,9,cjy,Jinyu Chinese,晋语
cpe,10,cpe,English-based creoles and pidgins,English-based creoles
cre,11,cre,Cree,Nēhiyawēwin
crs,12,crs,Seselwa Creole French,Seselwa
dhv,13,dhv,Dehu,Drehu
din,14,din,Dinka,Thuɔŋjäŋ
dje,15,dje,Zarma,Zarmaciine
dsb,16,dsb,Lower Sorbian,Dolnoserbski
dua,17,dua,Duala,Dualá
dyu,18,dyu,Dyula,Julakan
ewo,19,ewo,Ewondo,Kolo
fng,20,fng,Fanagalo,Fanagalo
fon,21,fon,Fon,Fongbe
fud,22,fud,Futunan,Faka futuna
fuf,23,fuf,Pular,Pular
gag,24,gag,Gagauz,Gagauz dili
gan,25,gan,Gan Chinese,贛語
gcf,26,gcf,Guadeloupean Creole French,Kréyòl gwadloupéyen
gcl,27,gcl,Grenadian Creole English,Grenadian Creole
gcr,28,gcr,Guianese Creole French,Kréyòl gwiyanyé
gil,29,gil,Kiribati,Taetae ni Kiribati
grn,30,grn,Guarani,Avañe'ẽ
gsw,31,gsw,Swiss German,Schwiizertüütsch
guc,32,guc,Wayuu,Wayuunaiki
gun,33,gun,Mbyá Guaraní,Mbyá
gyn,34,gyn,Guyanese Creole English,Guyanese Creole
hak,35,hak,Hakka Chinese,客家語
haw,36,haw,Hawaiian,ʻŌlelo Hawaiʻi
hmo,37,hmo,Hiri Motu,Hiri Motu
hsn,38,hsn,Xiang Chinese,湘語
iku,39,iku,Inuktitut,Inuktitut
jam,40,jam,Jamaican Patois,Patois
jax,41,jax,Malay (individual language),Bahasa Melayu Jambi
jer,42,jer,Jere,Jere
jiv,43,jiv,Shuar,Shuar chicham
kar,44,kar,Karen languages,Pwo Karen
kbp,45,kbp,Kabiyè,Kabiyɛ
kea,46,kea,Kabuverdianu,Kabuverdianu
kek,47,kek,Q'eqchi',Q'eqchi'
kgp,48,kgp,Kaingang,Kanhgág
kna,49,kna,Dera,Dera
kri,50,kri,Krio,Krio
kua,51,kua,Kuanyama,Oshikwanyama
kxd,52,kxd,Brunei Malay,Bahasa Melayu Brunei
lir,53,lir,Liberian English,Liberian English
loz,54,loz,Lozi,Silozi
lug,55,lug,Ganda,Luganda
mai,56,mai,Maithili,मैथिली
man,57,man,Mandingo,Mandinka
mcf,58,mcf,Matsés,Matsés
mey,59,mey,Hassaniya Arabic,Hassaniya
mfe,60,mfe,Mauritian Creole,Morisyen
mkw,61,mkw,Kituba (Congo),Kituba
mnk,62,mnk,Mandinka,Mandinka
mwl,63,mwl,Mirandese,Mirandés
nah,64,nah,Nahuatl languages,Nāhuatl
nan,65,nan,Min Nan Chinese,閩南語
nep,66,nep,Nepali,नेपाली
niu,67,niu,Niuean,ko e vagahau Niuē
nrf,68,nrf,Jèrriais,Jèrriais
nus,69,nus,Nuer,Thok Naath
pan,70,pan,Punjabi,ਪੰਜਾਬੀ
pap,71,pap,Papiamento,Papiamentu
pau,72,pau,Palauan,Belauan
pbb,73,pbb,Páez,Nasa Yuwe
pih,74,pih,Norfolk,Norf'k
pis,75,pis,Pijin,Pijin
pon,76,pon,Pohnpeian,Mahsen en Pohnpei
pov,77,pov,Upper Guinea Crioulo,Kriol
quc,78,quc,K'iche',K'iche'
rar,79,rar,Rarotongan,Māori Kūki 'Āirani
rcf,80,rcf,Réunion Creole French,Kréol réyoné
shn,81,shn,Shan,လိၵ်ႈတႆး
shu,82,shu,Chadian Arabic,Chadian Arabic
smo,83,smo,Samoan,Gagana Samoa
srn,84,srn,Sranan Tongo,Sranan Tongo
svc,85,svc,Vincentian Creole English,Vincentian Creole
swb,86,swb,Comorian,Shimaore
tet,87,tet,Tetum,Tetun
tkl,88,tkl,Tokelauan,Gagana Tokelau
tpi,89,tpi,Tok Pisin,Tok Pisin
tsj,90,tsj,Tshangla,Tshangla
tso,91,tso,Tsonga,Xitsonga
tto,92,tto,Tobagonian Creole English,Tobagonian Creole
tvl,93,tvl,Tuvaluan,Te Ggana Tuvalu
vmw,94,vmw,Makhuwa,Emakhuwa
wls,95,wls,Wallisian,Faka'uvea
wuu,96,wuu,Wu Chinese,吳語
yap,97,yap,Yapese,Thin nu Wa'ab
yor,98,yor,Yoruba,Yorùbá
yua,99,yua,Yucatec Maya,Maaya t'aan
yue,100,yue,Cantonese,粵語
zdj,101,zdj,Ngazidja Comorian,Shingazidja
zgh,102,zgh,Standard Moroccan Tamazight,ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ
